alliancewar.100.d;Пакт Эбонхарта, союз между восточной частью Скайрима, большинством домов Морровинда и некоторыми аргонианскими племенами, был основан после того, как три армии разбили акавирских захватчиков, незадолго до начала Войны Трех Альянсов. Целью пакта была защита независимости его членов путем уничтожения упомянутой Империи и всех ее претендентов.\nИмперские армии и претенденты терпели поражение снова и снова, пока мы не смогли объявить полную победу.\n\nТеперь империя в наших руках, и пришло время закончить то, что мы начали, когда началась Война Трех Альянсов.;;;;;;;;;x
alliancewar.100.optA;Мы всегда будем свободны!;;;;;;;;;x
alliancewar.101.t;Ковенант торжествует!;;;;;;;;;x
alliancewar.101.d;Война Альянсов закончилась, и Ковенант возглавил ее, претендуя на рубиновый трон! Союз бретонцев, редгардов и орков, уникальный случай в истории Тамриэля, возникший после вторжения Ричменов и Войны Трех Альянсов, оказался слишком сильным для Империи и других претендентов.\n\nЭти три культуры могут радоваться, так как вместе они кажутся неудержимыми.;;;;;;;;;x
alliancewar.101.optA;Мы единственные законные императоры Сиродила.;;;;;;;;;x
alliancewar.102.t;Доминион торжествует!;;;;;;;;;x
alliancewar.102.d;Битва Альянсов окончена! Доминион, возглавляемый победоносной Королевой Айренн, претендует на рубиновый трон. Претенденты были разгромлены, их армии разбиты высшими силами Альдмеров и их Каджитской вспомогательной армией.\nНарод Тамриэля снова может радоваться, что законное, справедливое правление меров восстановлено в бело-золотой башне.\n\nЭто начало новой эры, эры стабильности и процветания, эры Альдмеров.;;;;;;;;;x
alliancewar.102.optA;Стойте с нами, объединенные под Орлом Примархом!;;;;;;;;;x
title_eagle_primarch;Орёл Примарх;;;;;;;;;x
alliancewar.103.t;Сиродил побеждает!;;;;;;;;;x
alliancewar.103.d;Пока Тамриэль затаил дыхание, ожидая, какая фракция выиграет Войну Трех Альянсов, произошло невозможное. Армии Доминиона, Ковенанта и Пакта были отправлены домой, когда Сиродил одерживал победу за победой. Альянсы были вынуждены подписать мирный договор с Сиродиилом, поклявшись никогда больше не наступать на Имперский город. Некоторые все еще утверждают, что Империя - не что иное, как марионетка Молаг Бала или других различных даэдрических сил, но со временем они окажутся неправы.\n\nСиродил может снова свободно дышать и радоваться.;;;;;;;;;x
alliancewar.103.optA;Сиродил никогда не поклонится иностранному захватчику!;;;;;;;;;x
AllianceWar105Title;Доминион унижен?;;;;;;;;;x
AllianceWar105;Альдмерский Доминион был основан с обещанием, что наш народ  разделит радость управления Империей, станет править людьми. Теперь Империи больше нет, но мы остаемся под игом альтмеров.  Сколько нашей крови пролилось зря? Сколько ещё будет пролито во имя альтмерских фантазий о власти?;;;;;;;;;x
AllianceWar105OptA;Хватит уже! Этот 'Доминион' не нужен!;;;;;;;;;x
alliancewar.110.t;Доминион побежден!;;;;;;;;;x
alliancewar.110.d;Когда армии Альдмерского Доминиона и Империи Сиродил столкнулись, стало ясно, что силы королевы Айренн были переоценены. В тот же день Доминион был вынужден подписать мирный договор с Сиродилом, положив конец нападениям Доминиона на Империю.\n\nС отступлением Доминиона, шансы Сиродила выиграть войну становятся высоки...;;;;;;;;;x
alliancewar.110.dAlliance;[Root.GetFirstNameWithNick] уже заявил свои права на Сиродил, но это не означает, что война Трех Альянсов закончилась. Конфликт с другими альянсами все еще продолжался, и сегодня он достиг критической точки.\n\n[From.GetFirstNameWithNick], все еще претендуя на имперскую провинцию, был вынужден подписать мирный договор с [Root.GetFirstName] и покинуть престол Разлученных Королей.\n\nПо-видимому, [Root.GetFirstName] может сохранить и защитить Сиродил, пока [Root.GetSheHe] не сможет объявить о полной победе...;;;;;;;;;x
alliancewar.110.optA;Славная победа Сиродила!;;;;;;;;;x
alliancewar.110.optB;Сокрушительное поражение ...;;;;;;;;;x
alliancewar.110.optC;Этот конфликт когда-нибудь закончится?;;;;;;;;;x
alliancewar.111.t;Пакт отодвинулся назад!;;;;;;;;;x
alliancewar.111.d;После нескольких месяцев ожесточенных боев на севере Сиродила армии пакта Эбонхарта были отброшены. Сегодня король Йорунн был вынужден просить мира и официально прекратил свои нападения на Сиродил.\n\nС отступлением Пакта, шансы Сиродила выиграть войну становятся высоки...;;;;;;;;;x
alliancewar.112.t;Ковенант отступает!;;;;;;;;;x
alliancewar.112.d;Бретонская, Редгардская и Орочья армии не могли победить войска империи. Королевский совет, не имея другого выбора, официально прекратил войну с Сиродилом, поскольку победа казалась невозможной. Иллиакская Бухта больше не будет участвовать в Войне Трех Альянсов.\n\nС отступлением Ковенанта, шансы Сиродила выиграть войну становятся высоки...;;;;;;;;;x
alliancewar.115.t;Сиродил пал!;;;;;;;;;x
alliancewar.115.d;Война Трех Альяснов началась над Империей Сиродил и Имперским Породом. Каждая фракция уже несколько месяцев или даже лет боролась за место королей Сандерерда, и сегодня одна из них может претендовать на победу! [From.GetFirstNameWithNick] разгромил армии, защищавшие Сиродил, и заявил свои права на Имперский Остров!\n\nКонфликт еще не закончен, поскольку другие альянсы все еще должны быть побеждены и мир должен быть восстановлен.;;;;;;;;;x
alliancewar.115.dFaction;Пока [Root.GetFirstNameWithNick] претендовал на победу, его надежды на славу сегодня были разбиты, когда он был вынужден подписать унизительный мирный договор с [From.GetFirstNameWithNick]. Его фракция была вынуждена покинуть Сиродил, так как войска [From.GetFirstName] вошли в Имперский Город и захватили большую часть поселений, все еще свободных от оккупационных сил.\n[From.GetFirstName] заявил свои права на Империю Сиродил!\n\nХотя конфликт подходит к концу, все еще есть некоторые мятежные силы, отрицающие права [From.GetFirstName] на рубиновый трон.;;;;;;;;;x
alliancewar.115.optA;Мы сокрушим мятежников и захватчиков!;;;;;;;;;x
alliancewar.115.optB;Они не будут держать это долго!;;;;;;;;;x
alliancewar.115.optC;Когда эта война наконец закончится?;;;;;;;;;x
AllianceWar105OptB;Доминион по-прежнему полезен. Нет нужды в дальнейшем насилии.;;;;;;;;;x
AllianceWar210;[From.GetBestName] сообщает мне о своих планах вторгнуться в чужие земли и расширить влияние предельцев. [From.GetSheHeCap] считает, что пришло время нанести удар и "смиренно" просит профинансировать найм дополнительных рекрутов для попытки вторжения.;;;;;;;;;x
AllianceWar210OptA;Конечно. Ты получишь мою поддержку!;;;;;;;;;x
AllianceWar210OptB;[From.GetFirstName], это невозможно.;;;;;;;;;x
AllianceWar215;Есть несколько созревших для завоевания целей. Их слабые гарнизоны не устоят перед моими бесстрашными воинами. Вопрос лишь в том, куда нанести удар.;;;;;;;;;x
AllianceWarNilheim;На Нилхейм!;;;;;;;;;x
AllianceWarMorvunskar;На Морвунскар!;;;;;;;;;x
AllianceWarAnsilvund;На Ансилвунд!;;;;;;;;;x
AllianceWarRiften;На Рифтен!;;;;;;;;;x
AllianceWarWhiterun;На Вайтран!;;;;;;;;;x
AllianceWarValtgard;На Валтгард!;;;;;;;;;x
AllianceWarEvermore;На Эвермор!;;;;;;;;;x
AllianceWarDunkarn;На Дункарн!;;;;;;;;;x
AllianceWarJehenna;На Джеханну!;;;;;;;;;x
AllianceWarFarrun;На Фаррун!;;;;;;;;;x
AllianceWarDorven;На Дорвен!;;;;;;;;;x
AllianceWar223;Вторжение начинается! К сожалению, мой предыдущий хозяин не дал мне никаких средств, и потому силы оказались не такими крупными, как ожидалось. Но я чувствую, что победа уже совсем близка! ;;;;;;;;;x
AllianceWar223Acknowledge;Тамриэль принадлежит предельцам!;;;;;;;;;x
AllianceWar224;Вторжение начинается! Благодаря средствам от моего предыдущего хозяина, силы вторжения оказались крупнее, чем ожидалось. Я чувствую, что победа уже совсем близка! ;;;;;;;;;x
AllianceWar224Acknowledge;Тамриэль принадлежит предельцам!;;;;;;;;;x
AllianceWar225;[From.GetBestName], собрав силы вторжения из племенных воинов, странствующих приключенцев, вольных наёмников и других бойцов, собирается завоевать земли чужестранцев во имя Предела и его народа!;;;;;;;;;x
AllianceWar225Acknowledge;Ну… удачи!;;;;;;;;;x
AllianceWar230;Победа! Иначе быть и не могло. Теперь, пока мои воины разоряют и празднуют, я могу спокойно вздохнуть, зная, что это был не просто сокрушительный удар нашим врагам: мой народ получил новые земли и новую надежду.;;;;;;;;;x
AllianceWar230OptA;Нужно отплатить моему спонсору клятвой верности.;;;;;;;;;x
AllianceWar230OptB;[Root.PrimaryTitle.GetFullName]! За Предел!;;;;;;;;;x
AllianceWar231;В знак благодарности за ваше покровительство при моей попытке захватить новые земли для моего народа, я смиренно предлагаю свою верность вам.;;;;;;;;;x
AllianceWar231OptA;[From.GetFirstName], я принимаю твоё предложение.;;;;;;;;;x
AllianceWar231OptB;Я польщён, но вы сами по себе.;;;;;;;;;x
