magicka.1.d;Я чувствую, как моя сила медленно возвращается. Я восстановил часть своей магии.;;;;;;;;;;;;;x
magicka_28_desc;Магия это магическая энергия, которая может быть доступна многим ученым в Мундусе. Персонаж может хранить до 2 очков магии (не государственной) на очко образования, максимум 60 на 30 образования.  Магия восстанавливается на 1 очко за год, который увеличивается на единицу каждые 5 очков образования, максимум 10 магии в год на образование 45.;;;;;;;;;;;;;x;
magicka_29;Магия: 29;;;;;;;;;;;;;x;
magicka_29_desc;Магия это магическая энергия, которая может быть доступна многим ученым в Мундусе. Персонаж может хранить до 2 очков магии (не государственной) на очко образования, максимум 60 на 30 образования.  Магия восстанавливается на 1 очко за год, который увеличивается на единицу каждые 5 очков образования, максимум 10 магии в год на образование 45.;;;;;;;;;;;;;x;
magicka_30;Магия: 30;;;;;;;;;;;;;x;
magicka_30_desc;Магия это магическая энергия, которая может быть доступна многим ученым в Мундусе. Персонаж может хранить до 2 очков магии (не государственной) на очко образования, максимум 60 на 30 образования.  Магия восстанавливается на 1 очко за год, который увеличивается на единицу каждые 5 очков образования, максимум 10 магии в год на образование 45.;;;;;;;;;;;;;x;
magicka_31;Магия: 31;;;;;;;;;;;;;x;
magicka_31_desc;Магия это магическая энергия, которая может быть доступна многим ученым в Мундусе. Персонаж может хранить до 2 очков магии (не государственной) на очко образования, максимум 60 на 30 образования.  Магия восстанавливается на 1 очко за год, который увеличивается на единицу каждые 5 очков образования, максимум 10 магии в год на образование 45.;;;;;;;;;;;;;x;
magicka_32;Магия: 32;;;;;;;;;;;;;x;
magicka_32_desc;Магия это магическая энергия, которая может быть доступна многим ученым в Мундусе. Персонаж может хранить до 2 очков магии (не государственной) на очко образования, максимум 60 на 30 образования.  Магия восстанавливается на 1 очко за год, который увеличивается на единицу каждые 5 очков образования, максимум 10 магии в год на образование 45.;;;;;;;;;;;;;x;
magicka_33;Магия: 33;;;;;;;;;;;;;x;
magicka_33_desc;Магия это магическая энергия, которая может быть доступна многим ученым в Мундусе. Персонаж может хранить до 2 очков магии (не государственной) на очко образования, максимум 60 на 30 образования.  Магия восстанавливается на 1 очко за год, который увеличивается на единицу каждые 5 очков образования, максимум 10 магии в год на образование 45.;;;;;;;;;;;;;x;
magicka_34;Магия: 34;;;;;;;;;;;;;x;
magicka_34_desc;Магия это магическая энергия, которая может быть доступна многим ученым в Мундусе. Персонаж может хранить до 2 очков магии (не государственной) на очко образования, максимум 60 на 30 образования.  Магия восстанавливается на 1 очко за год, который увеличивается на единицу каждые 5 очков образования, максимум 10 магии в год на образование 45.;;;;;;;;;;;;;x;
magicka_35;Магия: 35;;;;;;;;;;;;;x;
magicka_35_desc;Магия это магическая энергия, которая может быть доступна многим ученым в Мундусе. Персонаж может хранить до 2 очков магии (не государственной) на очко образования, максимум 60 на 30 образования.  Магия восстанавливается на 1 очко за год, который увеличивается на единицу каждые 5 очков образования, максимум 10 магии в год на образование 45.;;;;;;;;;;;;;x;
magicka_36;Магия: 36;;;;;;;;;;;;;x;
magicka_36_desc;Магия это магическая энергия, которая может быть доступна многим ученым в Мундусе. Персонаж может хранить до 2 очков магии (не государственной) на очко образования, максимум 60 на 30 образования.  Магия восстанавливается на 1 очко за год, который увеличивается на единицу каждые 5 очков образования, максимум 10 магии в год на образование 45.;;;;;;;;;;;;;x;
magicka_37;Магия: 37;;;;;;;;;;;;;x;
magicka_37_desc;Магия это магическая энергия, которая может быть доступна многим ученым в Мундусе. Персонаж может хранить до 2 очков магии (не государственной) на очко образования, максимум 60 на 30 образования.  Магия восстанавливается на 1 очко за год, который увеличивается на единицу каждые 5 очков образования, максимум 10 магии в год на образование 45.;;;;;;;;;;;;;x;
magicka_38;Магия: 38;;;;;;;;;;;;;x;
magicka_38_desc;Магия это магическая энергия, которая может быть доступна многим ученым в Мундусе. Персонаж может хранить до 2 очков магии (не государственной) на очко образования, максимум 60 на 30 образования.  Магия восстанавливается на 1 очко за год, который увеличивается на единицу каждые 5 очков образования, максимум 10 магии в год на образование 45.;;;;;;;;;;;;;x;
magicka_39;Магия: 39;;;;;;;;;;;;;x;
magicka_39_desc;Магия это магическая энергия, которая может быть доступна многим ученым в Мундусе. Персонаж может хранить до 2 очков магии (не государственной) на очко образования, максимум 60 на 30 образования.  Магия восстанавливается на 1 очко за год, который увеличивается на единицу каждые 5 очков образования, максимум 10 магии в год на образование 45.;;;;;;;;;;;;;x;
magicka_40;Магия: 40;;;;;;;;;;;;;x;
magicka_40_desc;Магия это магическая энергия, которая может быть доступна многим ученым в Мундусе. Персонаж может хранить до 2 очков магии (не государственной) на очко образования, максимум 60 на 30 образования.  Магия восстанавливается на 1 очко за год, который увеличивается на единицу каждые 5 очков образования, максимум 10 магии в год на образование 45.;;;;;;;;;;;;;x;
magicka_41;Магия: 41;;;;;;;;;;;;;x;
magicka_41_desc;Магия это магическая энергия, которая может быть доступна многим ученым в Мундусе. Персонаж может хранить до 2 очков магии (не государственной) на очко образования, максимум 60 на 30 образования.  Магия восстанавливается на 1 очко за год, который увеличивается на единицу каждые 5 очков образования, максимум 10 магии в год на образование 45.;;;;;;;;;;;;;x;
magicka_42;Магия: 42;;;;;;;;;;;;;x;
magicka_42_desc;Магия это магическая энергия, которая может быть доступна многим ученым в Мундусе. Персонаж может хранить до 2 очков магии (не государственной) на очко образования, максимум 60 на 30 образования.  Магия восстанавливается на 1 очко за год, который увеличивается на единицу каждые 5 очков образования, максимум 10 магии в год на образование 45.;;;;;;;;;;;;;x;
magicka_43;Магия: 43;;;;;;;;;;;;;x;
magicka_43_desc;Магия это магическая энергия, которая может быть доступна многим ученым в Мундусе. Персонаж может хранить до 2 очков магии (не государственной) на очко образования, максимум 60 на 30 образования.  Магия восстанавливается на 1 очко за год, который увеличивается на единицу каждые 5 очков образования, максимум 10 магии в год на образование 45.;;;;;;;;;;;;;x;
magicka_44;Магия: 44;;;;;;;;;;;;;x;
magicka_44_desc;Магия это магическая энергия, которая может быть доступна многим ученым в Мундусе. Персонаж может хранить до 2 очков магии (не государственной) на очко образования, максимум 60 на 30 образования.  Магия восстанавливается на 1 очко за год, который увеличивается на единицу каждые 5 очков образования, максимум 10 магии в год на образование 45.;;;;;;;;;;;;;x;
magicka_45;Магия: 45;;;;;;;;;;;;;x;
magicka_45_desc;Магия это магическая энергия, которая может быть доступна многим ученым в Мундусе. Персонаж может хранить до 2 очков магии (не государственной) на очко образования, максимум 60 на 30 образования.  Магия восстанавливается на 1 очко за год, который увеличивается на единицу каждые 5 очков образования, максимум 10 магии в год на образование 45.;;;;;;;;;;;;;x;
magicka_46;Магия: 46;;;;;;;;;;;;;x;
magicka_46_desc;Магия это магическая энергия, которая может быть доступна многим ученым в Мундусе. Персонаж может хранить до 2 очков магии (не государственной) на очко образования, максимум 60 на 30 образования.  Магия восстанавливается на 1 очко за год, который увеличивается на единицу каждые 5 очков образования, максимум 10 магии в год на образование 45.;;;;;;;;;;;;;x;
magicka_47;Магия: 47;;;;;;;;;;;;;x;
magicka_47_desc;Магия это магическая энергия, которая может быть доступна многим ученым в Мундусе. Персонаж может хранить до 2 очков магии (не государственной) на очко образования, максимум 60 на 30 образования.  Магия восстанавливается на 1 очко за год, который увеличивается на единицу каждые 5 очков образования, максимум 10 магии в год на образование 45.;;;;;;;;;;;;;x;
magicka_48;Магия: 48;;;;;;;;;;;;;x;
magicka_48_desc;Магия это магическая энергия, которая может быть доступна многим ученым в Мундусе. Персонаж может хранить до 2 очков магии (не государственной) на очко образования, максимум 60 на 30 образования.  Магия восстанавливается на 1 очко за год, который увеличивается на единицу каждые 5 очков образования, максимум 10 магии в год на образование 45.;;;;;;;;;;;;;x;
magicka_49;Магия: 49;;;;;;;;;;;;;x;
magicka_49_desc;Магия это магическая энергия, которая может быть доступна многим ученым в Мундусе. Персонаж может хранить до 2 очков магии (не государственной) на очко образования, максимум 60 на 30 образования.  Магия восстанавливается на 1 очко за год, который увеличивается на единицу каждые 5 очков образования, максимум 10 магии в год на образование 45.;;;;;;;;;;;;;x;
magicka_50;Магия: 50;;;;;;;;;;;;;x;
magicka_50_desc;Магия это магическая энергия, которая может быть доступна многим ученым в Мундусе. Персонаж может хранить до 2 очков магии (не государственной) на очко образования, максимум 60 на 30 образования.  Магия восстанавливается на 1 очко за год, который увеличивается на единицу каждые 5 очков образования, максимум 10 магии в год на образование 45.;;;;;;;;;;;;;x;
magicka_51;Магия: 51;;;;;;;;;;;;;x;
magicka_51_desc;Магия это магическая энергия, которая может быть доступна многим ученым в Мундусе. Персонаж может хранить до 2 очков магии (не государственной) на очко образования, максимум 60 на 30 образования.  Магия восстанавливается на 1 очко за год, который увеличивается на единицу каждые 5 очков образования, максимум 10 магии в год на образование 45.;;;;;;;;;;;;;x;
magicka_52;Магия: 52;;;;;;;;;;;;;x;
magicka_52_desc;Магия это магическая энергия, которая может быть доступна многим ученым в Мундусе. Персонаж может хранить до 2 очков магии (не государственной) на очко образования, максимум 60 на 30 образования.  Магия восстанавливается на 1 очко за год, который увеличивается на единицу каждые 5 очков образования, максимум 10 магии в год на образование 45.;;;;;;;;;;;;;x;
magicka_53;Магия: 53;;;;;;;;;;;;;x;
magicka_53_desc;Магия это магическая энергия, которая может быть доступна многим ученым в Мундусе. Персонаж может хранить до 2 очков магии (не государственной) на очко образования, максимум 60 на 30 образования.  Магия восстанавливается на 1 очко за год, который увеличивается на единицу каждые 5 очков образования, максимум 10 магии в год на образование 45.;;;;;;;;;;;;;x;
magicka_54;Магия: 54;;;;;;;;;;;;;x;
magicka_54_desc;Магия это магическая энергия, которая может быть доступна многим ученым в Мундусе. Персонаж может хранить до 2 очков магии (не государственной) на очко образования, максимум 60 на 30 образования.  Магия восстанавливается на 1 очко за год, который увеличивается на единицу каждые 5 очков образования, максимум 10 магии в год на образование 45.;;;;;;;;;;;;;x;
magicka_55;Магия: 55;;;;;;;;;;;;;x;
magicka_55_desc;Магия это магическая энергия, которая может быть доступна многим ученым в Мундусе. Персонаж может хранить до 2 очков магии (не государственной) на очко образования, максимум 60 на 30 образования.  Магия восстанавливается на 1 очко за год, который увеличивается на единицу каждые 5 очков образования, максимум 10 магии в год на образование 45.;;;;;;;;;;;;;x;
magicka_56;Магия: 56;;;;;;;;;;;;;x;
magicka_56_desc;Магия это магическая энергия, которая может быть доступна многим ученым в Мундусе. Персонаж может хранить до 2 очков магии (не государственной) на очко образования, максимум 60 на 30 образования.  Магия восстанавливается на 1 очко за год, который увеличивается на единицу каждые 5 очков образования, максимум 10 магии в год на образование 45.;;;;;;;;;;;;;x;
magicka_57;Магия: 57;;;;;;;;;;;;;x;
magicka_57_desc;Магия это магическая энергия, которая может быть доступна многим ученым в Мундусе. Персонаж может хранить до 2 очков магии (не государственной) на очко образования, максимум 60 на 30 образования.  Магия восстанавливается на 1 очко за год, который увеличивается на единицу каждые 5 очков образования, максимум 10 магии в год на образование 45.;;;;;;;;;;;;;x;
magicka_58;Магия: 58;;;;;;;;;;;;;x;
magicka_58_desc;Магия это магическая энергия, которая может быть доступна многим ученым в Мундусе. Персонаж может хранить до 2 очков магии (не государственной) на очко образования, максимум 60 на 30 образования.  Магия восстанавливается на 1 очко за год, который увеличивается на единицу каждые 5 очков образования, максимум 10 магии в год на образование 45.;;;;;;;;;;;;;x;
magicka_59;Магия: 59;;;;;;;;;;;;;x;
magicka_59_desc;Магия это магическая энергия, которая может быть доступна многим ученым в Мундусе. Персонаж может хранить до 2 очков магии (не государственной) на очко образования, максимум 60 на 30 образования.  Магия восстанавливается на 1 очко за год, который увеличивается на единицу каждые 5 очков образования, максимум 10 магии в год на образование 45.;;;;;;;;;;;;;x;
magicka_60;Магия: 60;;;;;;;;;;;;;x;
magicka_60_desc;Магия это магическая энергия, которая может быть доступна многим ученым в Мундусе. Персонаж может хранить до 2 очков магии (не государственной) на очко образования, максимум 60 на 30 образования.  Магия восстанавливается на 1 очко за год, который увеличивается на единицу каждые 5 очков образования, максимум 10 магии в год на образование 45.;;;;;;;;;;;;;x;
MAGICKA_COST_1;Затратить 1 Maгию.;;;;;;;;;;;;;x;
MAGICKA_COST_2;Затратить 2 Maгии.;;;;;;;;;;;;;x;
MAGICKA_COST_3;Затратить 3 Maгии.;;;;;;;;;;;;;x;
MAGICKA_COST_4;Затратить 4 Maгии.;;;;;;;;;;;;;x;
MAGICKA_COST_5;Затратить 5 Maгии.;;;;;;;;;;;;;x;
MAGICKA_COST_6;Затратить 6 Maгии.;;;;;;;;;;;;;x;
MAGICKA_COST_7;Затратить 7 Maгии.;;;;;;;;;;;;;x;
MAGICKA_COST_8;Затратить 8 Maгии.;;;;;;;;;;;;;x;
MAGICKA_COST_9;Затратить 9 Maгии.;;;;;;;;;;;;;x;
MAGICKA_COST_10;Затратить 10 Maгии.;;;;;;;;;;;;;x;
MAGICKA_COST_11;Затратить 11 Maгии.;;;;;;;;;;;;;x;
MAGICKA_COST_12;Затратить 12 Maгии.;;;;;;;;;;;;;x;
MAGICKA_COST_13;Затратить 13 Maгии.;;;;;;;;;;;;;x;
MAGICKA_COST_14;Затратить 14 Maгии.;;;;;;;;;;;;;x;
MAGICKA_COST_15;Затратить 15 Maгии.;;;;;;;;;;;;;x;
MAGICKA_COST_16;Затратить 16 Maгии.;;;;;;;;;;;;;x;
MAGICKA_COST_17;Затратить 17 Maгии.;;;;;;;;;;;;;x;
MAGICKA_COST_18;Затратить 18 Maгии.;;;;;;;;;;;;;x;
MAGICKA_COST_19;Затратить 19 Maгии.;;;;;;;;;;;;;x;
MAGICKA_COST_20;Затратить 20 Maгии.;;;;;;;;;;;;;x;
MAGICKA_COST_21;Затратить 21 Maгии.;;;;;;;;;;;;;x;
MAGICKA_COST_22;Затратить 22 Maгии.;;;;;;;;;;;;;x;
MAGICKA_COST_23;Затратить 23 Maгии.;;;;;;;;;;;;;x;
MAGICKA_COST_24;Затратить 24 Maгии.;;;;;;;;;;;;;x;
MAGICKA_COST_25;Затратить 25 Maгии.;;;;;;;;;;;;;x;
MAGICKA_COST_26;Затратить 26 Maгии.;;;;;;;;;;;;;x;
MAGICKA_COST_27;Затратить 27 Maгии.;;;;;;;;;;;;;x;
