form_chosenoldgods;Избранные Старых Богов;;;;;;;;;;;;x
form_chosenoldgods_desc;Призовите воинов на защиту Старых Богов..;;;;;;;;;;;;;x
ek_holy_orders.2.t;Избранные Старых Богов;;;;;;;;;;;;;x
ek_holy_orders.2.d;Старым Богам ричменов поклоняются во всем Пределе и за его пределами, но до недавнего времени все попытки объединить верующих были бесполезными. [From.GetTitledName] пригласил сильнейших воинов Предела и сформировал Избранных С Богов.;;;;;;;;;;;;;x
form_forsworn;Изгои;;;;;;;;;;;;x
form_forsworn_desc;Призовите воинов, чтобы защитить Культ Ворожей и их последователей.;;;;;;;;;;;;;x
ek_holy_orders.1.t;Изгои;;;;;;;;;;;;x
ek_holy_orders.1.d;Культ Ворожей и их культисты в течение длительного времени оставались в тени, в тайных храмах и пещерах. Но в последнее время поклонение этим могущественным магам и их темным сердцам-воинам распространилось по всему ареалу, и некоторые из них объединились, называя себя Изгоями.;;;;;;;;;;;;;x
d_wild_hunters;Дикие Охотники;;;;;;;;;;;;;x;
d_wild_hunters_adj;Диких Охотников;;;;;;;;;;;;;x;
d_incarnate_army;Армия Воплощения;;;;;;;;;;;;;x;
d_incarnate_army_adj;Армии Воплощения;;;;;;;;;;;;;x;
d_reclamation_armiger;Знаменосцы Истребования;;;;;;;;;;;;;x;
d_reclamation_armiger_adj;Знаменосцев Истребования;;;;;;;;;;;;;x;
d_veloths_judgment;Правосудие Велота;;;;;;;;;;;;;x;
d_veloths_judgment_adj;Правосудии Велота;;;;;;;;;;;;;x;
d_spirit_wardens;Духи-хранители;;;;;;;;;;;;;x;
d_spirit_wardens_adj;Духов-хранителей;;;;;;;;;;;;;x;
d_snake_mount;Змеиная Гора;;;;;;;;;;;;;x;
d_snake_mount_adj;Змеиной Горы;;;;;;;;;;;;;x;
d_bittercuppers;Горькие Чаши;;;;;;;;;;;;;x;
d_bittercuppers_adj;Горьких Чаш;;;;;;;;;;;;;x;
d_apocryphers;Апокрифы;;;;;;;;;;;;;x;
d_apocryphers_adj;Апокрифов;;;;;;;;;;;;;x;
d_blood_hunters;Кровавые Охотники;;;;;;;;;;;;;x;
d_blood_hunters_adj;Диких Охотников;;;;;;;;;;;;;x;
d_mythic_dawn;Мифический Рассвет;;;;;;;;;;;;;x;
d_mythic_dawn_adj;Мифического Рассвета;;;;;;;;;;;;;x;
d_webspinners;Прядальщики Сети;;;;;;;;;;;;;x;
d_webspinners_adj;Прядальщиков Сети;;;;;;;;;;;;;;x
d_unfeathereds;Неоперенные;;;;;;;;;;;;;x;
d_unfeathereds_adj;Неоперенных;;;;;;;;;;;;;x;
d_planemelders;Соединяющие Планы;;;;;;;;;;;;;x;
d_planemelders_adj;Соединяющих Планы;;;;;;;;;;;;;x;
d_decayed;Презренные;;;;;;;;;;;;;x;
d_decayed_adj;Презренных;;;;;;;;;;;;;x;
d_nightingales;Соловьи;;;;;;;;;;;;;x;
d_nightingales_adj;Соловьиных;;;;;;;;;;;;;x;
d_afflicted;Одержимые;;;;;;;;;;;;;x;
d_afflicted_adj;Одержимых;;;;;;;;;;;;;x;
d_debauchery;Неистовая Похоть;;;;;;;;;;;;;x;
d_debauchery_adj;Развратных;;;;;;;;;;;;;x;
d_wabbajack;Любители Сыра;;;;;;;;;;;;;x;
d_wabbajack_adj;Сырных;;;;;;;;;;;;;x;
d_knights_of_order;Рыцари Порядка;;;;;;;;;;;;;x;
d_knights_of_order_adj;Рыцарей Порядка;;;;;;;;;;;;;x;
d_dreamers;Мечтатели Разрушения;;;;;;;;;;;;;x;
d_dreamers_adj;Мечтателей;;;;;;;;;;;;;x;
d_pariah;Отверженные;;;;;;;;;;;;;x;
d_pariah_adj;Отверженных;;;;;;;;;;;;;x;
d_forsworn;Изгои;;;;;;;;;;;;;x
d_forsworn_adj;Изгоев;;;;;;;;;;;;;x
d_chosenoldgods;Избранные Старых Богов;;;;;;;;;;;;;x
d_chosenoldgods_adj;Избранных Старых Богов;;;;;;;;;;;;;x
